Date,Open,High,Low,Close,Change(Pips),Change(%)
08/16/2018 00:00,110.737,111.123,110.458,110.897,16,0.14
08/15/2018 00:00,111.139,111.433,110.433,110.742,-39.7,-0.36
08/14/2018 00:00,110.657,111.312,110.586,111.144,48.7,0.44
08/13/2018 00:00,110.43,110.943,110.112,110.721,29.1,0.26
08-10-2018 00:00,111.062,111.173,110.512,110.891,-17.1,-0.15
08-09-2018 00:00,110.96,111.18,110.704,111.081,12.1,0.11
08-08-2018 00:00,111.369,111.44,110.837,110.952,-41.7,-0.38
08-07-2018 00:00,111.401,111.478,110.991,111.377,-2.4,-0.02
08-06-2018 00:00,111.212,111.525,111.149,111.398,18.6,0.17
08-03-2018 00:00,111.639,111.877,111.101,111.271,-36.8,-0.33
08-02-2018 00:00,111.717,111.736,111.315,111.642,-7.5,-0.07
08-01-2018 00:00,111.816,112.151,111.389,111.713,-10.3,-0.09
07/31/2018 00:00,111.01,111.962,110.731,111.868,85.8,0.77
07/30/2018 00:00,110.927,111.166,110.89,111.062,13.5,0.12
07/27/2018 00:00,111.217,111.252,110.794,111.002,-21.5,-0.19
07/26/2018 00:00,110.966,111.248,110.587,111.229,26.3,0.24
07/25/2018 00:00,111.187,111.383,110.665,110.962,-22.5,-0.2
07/24/2018 00:00,111.334,111.516,110.963,111.208,-12.6,-0.11
07/23/2018 00:00,111.374,111.543,110.75,111.352,-2.2,-0.02
07/20/2018 00:00,112.457,112.623,111.381,111.442,-101.5,-0.91
07/19/2018 00:00,112.847,113.175,112.05,112.461,-38.6,-0.34
07/18/2018 00:00,112.858,113.137,112.708,112.841,-1.7,-0.02
07/17/2018 00:00,112.278,112.926,112.222,112.881,60.3,0.53
07/16/2018 00:00,112.212,112.566,112.191,112.279,6.7,0.06
07/13/2018 00:00,112.528,112.799,112.273,112.363,-16.5,-0.15
07-12-2018 00:00,111.992,112.629,111.916,112.526,53.4,0.47
07-11-2018 00:00,110.985,112.175,110.765,111.999,101.4,0.91
07-10-2018 00:00,110.847,111.354,110.759,111.048,20.1,0.18
07-09-2018 00:00,110.376,110.904,110.341,110.844,46.8,0.42
07-06-2018 00:00,110.581,110.789,110.382,110.479,-10.2,-0.09
07-05-2018 00:00,110.447,110.727,110.289,110.658,21.1,0.19
07-04-2018 00:00,110.578,110.609,110.279,110.492,-8.6,-0.08
07-03-2018 00:00,110.894,111.134,110.507,110.573,-32.1,-0.29
07-02-2018 00:00,110.605,111.06,110.551,110.883,27.8,0.25
06/29/2018 00:00,110.476,110.944,110.375,110.701,22.5,0.2
06/28/2018 00:00,110.245,110.65,109.966,110.494,24.9,0.23
